,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado
0,Prefeitura de Boca do Acre (AM),326.0,3400.0,"fundamental, médio e superior",boca do acre,amazonas
1,Câmara de Tunápolis,1.0,1789.92,superior,tunápolis,santa catarina
2,Prefeitura de Ouroeste (SP),31.0,2992.36,"fundamental, médio e superior",ouroeste,são paulo
3,Prefeitura de Olinda (PE),230.0,3867.47,superior,olinda,pernambuco
4,Prefeitura de Olinda (PE),230.0,3867.47,superior,olinda,pernambuco
5,Prefeitura de Diorama (GO),29.0,4128.09,"fundamental, médio e superior",diorama,goiás
6,Prefeitura de São Miguel da Boa Vista (SC),6.0,4851.34,"fundamental, médio e superior",são miguel da boa vista,santa catarina
7,"ICTIM - Instituto de Ciência, Tecnologia e Inovação de Maricá",19.0,5421.05,médio e superior,maricá,rio de janeiro
8,"Secretaria de Estado de Planejamento, Orçamento e Administração do Distrito Federal",230.0,9361.95,superior,distrito federal,distrito federal
9,Prefeitura de Camargo (RS),25.0,10483.3,"fundamental, médio e superior",camargo,rio grande do sul
10,Prefeitura de Orlândia (SP),163.0,10506.0,"fundamental, médio, técnico e superior",orlândia,são paulo
11,Prefeitura de Londrina (PR),41.0,12906.88,"fundamental, médio e superior",londrina,paraná
12,Prefeitura de São Miguel das Missões (RS),7.0,13680.24,"fundamental, médio e superior",são miguel das missões,rio grande do sul
13,Tribunal de Contas dos Municípios do Estado do Pará (PA),71.0,33689.11,médio e superior,várias cidades,pará
14,Prefeitura de Cordilheira Alta,5.0,34.42,superior,cordilheira alta,santa catarina
15,Prefeitura de Balneário Camboriú (SC),26.0,13622.83,"médio, técnico e superior",balneário camboriú,santa catarina
16,Prefeitura de Goioerê (PR),89.0,1192.0,"médio, superior e magistério",goioerê,paraná
17,Prefeitura de Novo Itacolomi,19.0,2510.78,"fundamental, médio, técnico e superior",novo itacolomi,paraná
18,Governo do Estado do Pará,136.0,3104.35,médio e superior,pará,pará
19,Secretaria de Estado de Meio Ambiente e Sustentabilidade do Pará,136.0,3104.35,médio e superior,pará,pará
20,Prefeitura de Presidente Prudente,24.0,3755.79,"fundamental, médio e superior",presidente prudente,são paulo
21,Câmara Municipal de Guarapi (PR),1.0,4085.67,superior,guaraci,paraná
22,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",4.0,5831.21,superior,jataí,goiás
23,Prefeitura de Guarulhos (SP),36.0,6286.79,"fundamental, médio e superior",guarulhos,são paulo
24,Prefeitura de Castelândia (GO),104.0,7000.0,"fundamental, médio e superior",castelândia,goiás
25,Prefeitura de Vicente Dutra (RS),48.0,7581.03,"fundamental, médio e superior",vicente dutra,rio grande do sul
26,Instituto de Previdência Social do Município de Campinas (SP),7.0,9283.73,médio e superior,campinas,são paulo
27,Prefeitura de Bocaina (SP),23.0,10180.8,"fundamental, médio e superior",bocaina,são paulo
28,Prefeitura de Fonte Boa (AM),370.0,18500.0,"fundamental, médio e superior",fonte boa,amazonas
29,Câmara Municipal de Catolé do Rocha (PB),5.0,1212.0,fundamental e médio,catolé do rocha,paraíba
30,Fundação Hospitalar do Estado de Minas Gerais (Fhemig),7.0,6385.13,superior,barbacena,minas gerais
31,Prefeitura de Rosário do Sul (RS),32.0,1320.0,médio e superior,rosário do sul,rio grande do sul
32,Prefeitura de Sonora (MS),6.0,2257.11,fundamental e médio,sonora,mato grosso do sul
33,Prefeitura de Campinópolis (MT),209.0,3703.64,"fundamental, médio e superior",campinópolis,mato grosso
34,Consórcio Público Interfederativo de Saúde do Litoral Norte e Agreste Baiano,46.0,5500.0,médio e superior,bahia,bahia
35,Prefeitura de Cabedelo (PB),78.0,7401.43,superior,cabedelo,paraíba
36,Universidade de Brasília (UnB),1.0,9616.18,doutorado,brasília,distrito federal
37,Prefeitura de Campos Novos Paulista (PR),19.0,2164.68,"fundamental, médio e superior",campos novos paulista,paraná
38,Prefeitura de Carazinho (RS),13.0,2424.0,médio,carazinho,rio grande do sul
39,Câmara Municipal de Miradouro (MG),5.0,2519.65,"fundamental, médio e superior",miradouro,minas gerais
41,Prefeitura de Getulina,8.0,3377.35,fundamental e superior,getulina,são paulo
42,UNESP - Universidade Estadual Paulista - Franca,3.0,3482.16,superior,franca,são paulo
43,Prefeitura de Água Branca (PB),86.0,4000.0,"fundamental, médio e superior",água branca,paraíba
44,Prefeitura de São Sebastião do Caí (RS),12.0,4515.9,superior,são sebastião do caí,rio grande do sul
45,Prefeitura de Macedônia (SP),11.0,4995.9,"fundamental, médio e superior",macedônia,são paulo
46,Prefeitura de São José dos Pinhais (PR),53.0,8512.79,médio e superior,são josé dos pinhais,paraná
47,Prefeitura de Imbuia (SC),10.0,16933.92,"médio, técnico e superior",imbuia,santa catarina
49,Instituto Estadual de Meio Ambiente e Recursos Hídricos (IEMA - ES),34.0,6582.6,técnico e superior,cariacica,espírito santo
50,Prefeitura de Canapi (AL),312.0,1700.0,médio e superior,canapi,alagoas
51,Prefeitura de Alvorada do Norte (GO),4.0,2424.0,médio,alvorada do norte,goiás
