,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado,Regiao
0,Prefeitura de Boca do Acre (AM),326.0,3400.0,4,boca do acre,amazonas,NORTE
1,Câmara de Tunápolis,1.0,1789.92,4,tunápolis,santa catarina,SUL
2,Prefeitura de Ouroeste (SP),31.0,2992.36,4,ouroeste,são paulo,SUDESTE
3,Prefeitura de Olinda (PE),230.0,3867.47,4,olinda,pernambuco,NORDESTE
4,Prefeitura de Olinda (PE),230.0,3867.47,4,olinda,pernambuco,NORDESTE
5,Prefeitura de Diorama (GO),29.0,4128.09,4,diorama,goiás,CENTRO-OESTE
6,Prefeitura de São Miguel da Boa Vista (SC),6.0,4851.34,4,são miguel da boa vista,santa catarina,SUL
7,"ICTIM - Instituto de Ciência, Tecnologia e Inovação de Maricá",19.0,5421.05,4,maricá,rio de janeiro,SUDESTE
8,"Secretaria de Estado de Planejamento, Orçamento e Administração do Distrito Federal",230.0,9361.95,4,distrito federal,distrito federal,CENTRO-OESTE
9,Prefeitura de Camargo (RS),25.0,10483.3,4,camargo,rio grande do sul,SUL
10,Prefeitura de Orlândia (SP),163.0,10506.0,4,orlândia,são paulo,SUDESTE
11,Prefeitura de Londrina (PR),41.0,12906.88,4,londrina,paraná,SUL
12,Prefeitura de São Miguel das Missões (RS),7.0,13680.24,4,são miguel das missões,rio grande do sul,SUL
13,Tribunal de Contas dos Municípios do Estado do Pará (PA),71.0,33689.11,4,várias cidades,pará,NORTE
14,Prefeitura de Cordilheira Alta,5.0,34.42,4,cordilheira alta,santa catarina,SUL
15,Prefeitura de Balneário Camboriú (SC),26.0,13622.83,4,balneário camboriú,santa catarina,SUL
16,Prefeitura de Goioerê (PR),89.0,1192.0,6,goioerê,paraná,SUL
17,Prefeitura de Novo Itacolomi,19.0,2510.78,4,novo itacolomi,paraná,SUL
18,Governo do Estado do Pará,136.0,3104.35,4,pará,pará,NORTE
19,Secretaria de Estado de Meio Ambiente e Sustentabilidade do Pará,136.0,3104.35,4,pará,pará,NORTE
20,Prefeitura de Presidente Prudente,24.0,3755.79,4,presidente prudente,são paulo,SUDESTE
21,Câmara Municipal de Guarapi (PR),1.0,4085.67,4,guaraci,paraná,SUL
22,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",4.0,5831.21,4,jataí,goiás,CENTRO-OESTE
23,Prefeitura de Guarulhos (SP),36.0,6286.79,4,guarulhos,são paulo,SUDESTE
24,Prefeitura de Castelândia (GO),104.0,7000.0,4,castelândia,goiás,CENTRO-OESTE
25,Prefeitura de Vicente Dutra (RS),48.0,7581.03,4,vicente dutra,rio grande do sul,SUL
26,Instituto de Previdência Social do Município de Campinas (SP),7.0,9283.73,4,campinas,são paulo,SUDESTE
27,Prefeitura de Bocaina (SP),23.0,10180.8,4,bocaina,são paulo,SUDESTE
28,Prefeitura de Fonte Boa (AM),370.0,18500.0,4,fonte boa,amazonas,NORTE
29,Câmara Municipal de Catolé do Rocha (PB),5.0,1212.0,2,catolé do rocha,paraíba,NORDESTE
30,Fundação Hospitalar do Estado de Minas Gerais (Fhemig),7.0,6385.13,4,barbacena,minas gerais,SUDESTE
31,Prefeitura de Rosário do Sul (RS),32.0,1320.0,4,rosário do sul,rio grande do sul,SUL
32,Prefeitura de Sonora (MS),6.0,2257.11,2,sonora,mato grosso do sul,CENTRO-OESTE
33,Prefeitura de Campinópolis (MT),209.0,3703.64,4,campinópolis,mato grosso,CENTRO-OESTE
34,Consórcio Público Interfederativo de Saúde do Litoral Norte e Agreste Baiano,46.0,5500.0,4,bahia,bahia,NORDESTE
35,Prefeitura de Cabedelo (PB),78.0,7401.43,4,cabedelo,paraíba,NORDESTE
36,Universidade de Brasília (UnB),1.0,9616.18,5,brasília,distrito federal,CENTRO-OESTE
37,Prefeitura de Campos Novos Paulista (PR),19.0,2164.68,4,campos novos paulista,paraná,SUL
38,Prefeitura de Carazinho (RS),13.0,2424.0,2,carazinho,rio grande do sul,SUL
39,Câmara Municipal de Miradouro (MG),5.0,2519.65,4,miradouro,minas gerais,SUDESTE
