,Instituto_Orgao,Vagas,Salario_Maximo,Escolaridade,Cidade,Estado
0,Prefeitura de Boca do Acre (AM),326,"R$ 3.400,00","fundamental, médio e superior",Boca do Acre,Amazonas
1,Câmara de Tunápolis,1,"R$ 1.789,92",superior,Tunápolis,Santa Catarina
2,Prefeitura de Ouroeste (SP),31,"R$ 2.992,36","fundamental, médio e superior",Ouroeste,São Paulo
3,Prefeitura de Olinda (PE),230,"R$ 3.867,47",superior,Olinda,Pernambuco
4,Prefeitura de Olinda (PE),230,"R$ 3.867,47",superior,Olinda,Pernambuco
5,Prefeitura de Diorama (GO),29,"R$ 4.128,09","fundamental, médio e superior",Diorama,Goiás
6,Prefeitura de São Miguel da Boa Vista (SC),6,"R$ 4.851,34","fundamental, médio e superior",São Miguel da Boa Vista,Santa Catarina
7,"ICTIM - Instituto de Ciência, Tecnologia e Inovação de Maricá",19,"R$ 5.421,05",médio e superior,Maricá,Rio de Janeiro
8,"Secretaria de Estado de Planejamento, Orçamento e Administração do Distrito Federal",230,"R$ 9.361,95",superior,Distrito Federal,Distrito Federal
9,Prefeitura de Camargo (RS),25,"R$ 10.483,30","fundamental, médio e superior",Camargo,Rio Grande do Sul
10,Prefeitura de Orlândia (SP),163,"R$ 10.506,00","fundamental, médio, técnico e superior",Orlândia,São Paulo
11,Prefeitura de Londrina (PR),41,"R$ 12.906,88","fundamental, médio e superior",Londrina,Paraná
12,Prefeitura de São Miguel das Missões (RS),7,"R$ 13.680,24","fundamental, médio e superior",São Miguel das Missões,Rio Grande do Sul
13,Tribunal de Contas dos Municípios do Estado do Pará (PA),71,"R$ 33.689,11",médio e superior,várias cidades,Pará
14,Prefeitura de Cordilheira Alta,5,"34,42 por hora",Superior,Cordilheira Alta,Santa Catarina
15,Prefeitura de Balneário Camboriú (SC),26,"R$ 13.622,83","médio, técnico e superior",Balneário Camboriú,Santa Catarina
16,Prefeitura de Goioerê (PR),89,"R$ 1.192,00","médio, superior e magistério",Goioerê,Paraná
17,Prefeitura de Novo Itacolomi,19,"R$ 2.510,78","fundamental, médio, técnico e superior",Novo Itacolomi,Paraná
18,Governo do Estado do Pará,136,"R$ 3.104,35",médio e superior,Pará,Pará
19,Secretaria de Estado de Meio Ambiente e Sustentabilidade do Pará,136,"R$ 3.104,35",médio e superior,Pará,Pará
20,Prefeitura de Presidente Prudente,24,"R$ 3.755,79","fundamental, médio e superior",Presidente Prudente,São Paulo
21,Câmara Municipal de Guarapi (PR),1,"R$ 4.085,67",superior,Guaraci,Paraná
22,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",4,"R$ 5.831,21",superior,Jataí,Goiás
23,Prefeitura de Guarulhos (SP),36,"R$ 6.286,79","fundamental, médio e superior",Guarulhos,São Paulo
24,Prefeitura de Castelândia (GO),104,"R$ 7.000,00","fundamental, médio e superior",Castelândia,Goiás
25,Prefeitura de Vicente Dutra (RS),48,"R$ 7.581,03","fundamental, médio e superior",Vicente Dutra,Rio Grande do Sul
26,Instituto de Previdência Social do Município de Campinas (SP),7,"R$ 9.283,73",médio e superior,Campinas,São Paulo
27,Prefeitura de Bocaina (SP),23,"R$ 10.180,80","fundamental, médio e superior",Bocaina,São Paulo
28,Prefeitura de Fonte Boa (AM),370,"R$ 18.500,00","fundamental, médio e superior",Fonte Boa,Amazonas
29,Câmara Municipal de Catolé do Rocha (PB),5,"R$ 1.212,00",fundamental e médio,Catolé do Rocha,Paraíba
30,Fundação Hospitalar do Estado de Minas Gerais (Fhemig),7,"R$ 6.385,13",superior,Barbacena,Minas Gerais
31,Prefeitura de Rosário do Sul (RS),32,"R$ 1.320,00",médio e superior,Rosário do Sul,Rio Grande do Sul
32,Prefeitura de Sonora (MS),6,"R$ 2.257,11",fundamental e médio,Sonora,Mato Grosso do Sul
33,Prefeitura de Campinópolis (MT),209,"R$ 3.703,64","fundamental, médio e superior",Campinópolis,Mato Grosso
34,Consórcio Público Interfederativo de Saúde do Litoral Norte e Agreste Baiano,46,"R$ 5.500,00",médio e superior,Bahia,Bahia
35,Prefeitura de Cabedelo (PB),78,"R$ 7.401,43",superior,Cabedelo,Paraíba
36,Universidade de Brasília (UnB),1,"R$ 9.616,18",doutorado,Brasília,Distrito Federal
37,Prefeitura de Campos Novos Paulista (PR),19,"R$ 2.164,68","fundamental, médio e superior",Campos Novos Paulista,Paraná
38,Prefeitura de Carazinho (RS),13,"R$ 2.424,00",médio,Carazinho,Rio Grande do Sul
39,Câmara Municipal de Miradouro (MG),5,"R$ 2.519,65","fundamental, médio e superior",Miradouro,Minas Gerais
40,"IFBA - Instituto Federal de Educação, Ciência e Tecnologia",2,"R$ 3.130,85",superior,,Bahia
41,Prefeitura de Getulina,8,"R$ 3.377,35",fundamental e superior,Getulina,São Paulo
42,UNESP - Universidade Estadual Paulista - Franca,3,"R$ 3.482,16",superior,Franca,São Paulo
43,Prefeitura de Água Branca (PB),86,"R$ 4.000,00","fundamental, médio e superior",Água Branca,Paraíba
44,Prefeitura de São Sebastião do Caí (RS),12,"R$ 4.515,90",superior,São Sebastião do Caí,Rio Grande do Sul
45,Prefeitura de Macedônia (SP),11,"R$ 4.995,90","fundamental, médio e superior",Macedônia,São Paulo
46,Prefeitura de São José dos Pinhais (PR),53,"R$ 8.512,79",médio e superior,São José dos Pinhais,Paraná
47,Prefeitura de Imbuia (SC),10,"R$ 16.933,92","médio, técnico e superior",Imbuia,Santa Catarina
48,Marinha,30,,"fundamental, médio e superior",Rio de Janeiro,Rio de Janeiro
49,Instituto Estadual de Meio Ambiente e Recursos Hídricos (IEMA - ES),34,"R$ 6.582,60",técnico e superior,Cariacica,Espírito Santo
50,Prefeitura de Canapi (AL),312,"R$ 1.700,00",médio e superior,Canapi,Alagoas
51,Prefeitura de Alvorada do Norte (GO),4,"R$ 2.424,00",médio,Alvorada do Norte,Goiás
52,UNESP - Universidade Estadual Paulista - Rio Claro,7,"R$ 1.655,35",superior,Rio Claro,São Paulo
53,Prefeitura de Bauru,2,"R$ 1.887,90",médio e técnico,Bauru,São Paulo
54,Prefeitura de Ribeirão (PE),25,"R$ 2.424,00",médio,Ribeirão,Pernambuco
55,Prefeitura de Sanclerlândia (GO),16,"R$ 2.558,99","fundamental, médio e superior",Sanclerlândia,Goiás
56,Prefeitura de Feliz (RS),6,"R$ 2.584,69",fundamental e médio,Feliz,Rio Grande do Sul
57,Prefeitura de Chapecó (SC),75,"R$ 2.976,80",fundamental,Chapecó,Santa Catarina
58,Prefeitura de Água Doce,2,"R$ 4.877,63",Superior,Água Doce,Santa Catarina
59,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",4,"R$ 5.831,21",superior,Itumbiara,Goiás
60,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo,34,"R$ 6.582,60",médio e superior,Espírito Santo,Espírito Santo
61,Prefeitura de Brás Pires (MG),140,"R$ 10.543,11","fundamental, médio e superior",Brás Pires,Minas Gerais
62,Receita Federal,699,"R$ 21.029,09",superior,todo o país,todo o país
63,Banco do Brasil,6000,"R$ 3.622,23",médio,todo o país,todo o país
64,Universidade Federal da Bahia (UFBA),24,"R$ 9.600,92",superior,Bahia,Bahia
65,Prefeitura de Erval Seco (RS),18,"R$ 1.616,24",superior,Erval Seco,Rio Grande do Sul
66,Prefeitura de Poço Fundo (MG),58,"R$ 2.555,28","fundamental, médio e superior",Poço Fundo,Minas Gerais
67,Prefeitura de Sete Lagoas (MG),2,"R$ 2.717,63",médio e superior,Sete Lagoas,Minas Gerais
68,Defensoria Pública da Bahia,115,"R$ 3.068,25",superior,Salvador,Bahia
69,Consórcio Intermunicipal de Saúde da Região do Vale do Peixoto (MT),110,"R$ 3.618,00","fundamental, médio e superior",Mato Grosso,Mato Grosso
70,Prefeitura de Britânia (GO),135,"R$ 4.903,22","fundamental, médio e superior",Britânia,Goiás
71,"IFG - Instituto Federal de Educação, Ciência e Tecnologia de Goiás",3,"R$ 5.831,21",superior,Inhumas,Goiás
72,Prefeitura de Boa Esperança,1,"R$ 6.053,07","Médio , Superior",Esperança,Paraná
73,Universidade Federal do Mato Grosso (UFMT),18,"R$ 10.074,18",superior,Mato Grosso,Mato Grosso
74,Prefeitura de São João do Sul (SC),,"R$ 16.620,00","fundamental, médio e superior",São João do Sul,Santa Catarina
75,Prefeitura de Ponta Porã (MS),714,"R$ 4.000,00","fundamental, médio e superior",Ponta Porã,Mato Grosso do Sul
76,Empresa de Desenvolvimento Agropecuário de Sergipe,55,"R$ 5.175,44",médio e superior,Aracaju,Sergipe
77,Tribunal de Justiça do Estado de São Paulo (SP),244,"R$ 28.883,97",superior,várias cidades,São Paulo
78,Prefeitura de Ponta Porã (MS),860,"R$ 9.980,00","fundamental, médio e superior",Ponta Porã,Mato Grosso do Sul
79,Polícia Militar do Estado do Rio Grande do Norte (PM - RN),1.158,"R$ 1.302,00",superior,Natal,Rio Grande do Norte
80,Prefeitura de Pedralva (MG),105,"R$ 5.294,02","fundamental, médio e superior",Pedralva,Minas Gerais
81,Prefeitura de São João del-Rei (MG),81,"R$ 10.833,16","fundamental, médio e superior",São João del-Rei,Minas Gerais
