,bathrooms,bedrooms,city,country,homeStatus,homeType,isNonOwnerOccupied,isPreforeclosureAuction,livingArea,lotAreaUnit,lotAreaValue,price,rentZestimate,zestimate
0,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,1.0,275000.0,1895,0.0
1,1.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,810.0,acres,0.29,170000.0,0.0,0.0
2,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,976.0,sqft,10454.4,305000.0,1500,256000
3,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1200.0,sqft,8276.4,285000.0,0.0,0.0
4,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1117.0,sqft,5227.2,270000.0,1800,269800
5,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1160.0,sqft,6098.4,245000.0,1900,245000
6,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2029.0,sqft,8712.0,417000.0,2799,493700
7,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2972.0,acres,0.27,725000.0,0.0,0.0
8,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,2.15,219000.0,1640,0.0
9,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1000.0,sqft,10018.8,170000.0,1550,212600
10,2.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,950.0,sqft,3484.8,255000.0,0.0,0.0
11,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2032.0,acres,0.37,399999.0,2495,427000
12,9.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,12370.0,acres,4.36,7900000.0,28957,5350200
13,1.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,650.0,sqft,9147.6,250000.0,1550,279500
14,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1064.0,sqft,8712.0,240000.0,1649,224000
15,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1428.0,sqft,10018.8,295000.0,1997,290800
16,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1027.0,sqft,871.2,160000.0,1550,156900
17,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1400.0,sqft,6534.0,289000.0,2275,285300
18,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,sqft,6534.0,65000.0,1343,0.0
19,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1432.0,sqft,9147.6,334000.0,2195,333100
20,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2238.0,sqft,6969.6,499900.0,2780,465300
21,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2077.0,acres,1.26,410000.0,0.0,0.0
22,4.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3438.0,sqft,6098.4,675000.0,3699,659459
23,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1380.0,sqft,9147.6,399000.0,0.0,0.0
24,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,990.0,sqft,6969.6,425000.0,1998,380400
25,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1157.0,acres,0.65,449000.0,2175,434700
26,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2065.0,sqft,6098.4,425000.0,2694,434300
27,2.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,726.0,sqft,8276.4,225000.0,1599,167700
28,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1865.0,sqft,7840.8,439991.0,2489,415700
29,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1334.0,sqft,5227.2,360000.0,2197,319000
30,2.0,2.0,Orlando,USA,FOR_SALE,MULTI_FAMILY,True,False,937.0,sqft,5662.8,265000.0,1500,265700
31,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2963.0,noUnit,0.0,945000.0,1694,0.0
32,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1220.0,sqft,6969.6,230000.0,1800,251400
33,3.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1250.0,sqft,871.2,265000.0,1814,260800
34,6.0,6.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,4812.0,acres,2.95,1199000.0,5258,1014400
35,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2411.0,sqft,6098.4,552342.0,0.0,0.0
36,3.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1546.0,sqft,871.2,318680.0,2044,310100
37,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1107.0,acres,0.5599999999999999,239999.0,0.0,0.0
38,1.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,840.0,sqft,6969.6,179900.0,0.0,0.0
39,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1964.0,sqft,5662.8,439000.0,2595,423300
40,1.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,914.0,sqft,5662.8,225000.0,1694,149800
41,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,934.0,sqft,3484.8,245000.0,1699,0.0
42,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1480.0,noUnit,0.0,335000.0,2300,350000
43,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1430.0,sqft,10018.8,379880.0,1950,225200
44,2.0,2.0,Orlando,USA,FOR_SALE,MANUFACTURED,True,False,624.0,noUnit,0.0,39900.0,0.0,0.0
45,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,864.0,sqft,10018.8,139000.0,1500,143800
46,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2050.0,sqft,6098.4,530000.0,0.0,0.0
47,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1652.0,sqft,2613.6,409580.0,1950,0.0
48,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,sqft,7405.2,375000.0,2997,650400
49,2.0,2.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,868.0,sqft,1742.4,109500.0,1497,138000
50,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1711.0,acres,0.3,441000.0,2252,406800
51,4.0,6.0,Orlando,USA,FOR_SALE,MULTI_FAMILY,True,False,2693.0,acres,0.37,360000.0,0.0,0.0
52,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,sqft,6969.6,375000.0,0.0,0.0
53,5.0,7.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,5253.0,sqft,9583.2,2150000.0,0.0,0.0
54,3.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2111.0,sqft,7405.2,520000.0,2875,528100
55,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1707.0,noUnit,0.0,391490.0,1599,0.0
56,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1672.0,sqft,1742.4,429900.0,2555,404200
57,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1720.0,sqft,4356.0,480000.0,2600,427200
58,3.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2730.0,sqft,9147.6,565000.0,3028,559200
59,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,5.0,300000.0,1993,0.0
60,2.0,3.0,Orlando,USA,FOR_SALE,MANUFACTURED,True,False,1012.0,noUnit,0.0,119000.0,0.0,0.0
61,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,996.0,sqft,435.6,169000.0,1550,144000
62,3.0,5.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2702.0,sqft,10018.8,730000.0,3499,693900
63,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1240.0,sqft,871.2,189900.0,1649,186700
64,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1682.0,sqft,871.2,354999.0,2400,325400
65,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1244.0,sqft,10018.8,415000.0,0.0,0.0
66,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,1.2,157000.0,0.0,0.0
67,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,0.31,679900.0,0.0,0.0
68,2.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2629.0,noUnit,0.0,595990.0,1995,0.0
69,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1127.0,sqft,9583.2,325000.0,1999,325000
70,1.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1003.0,sqft,10454.4,219900.0,2124,153200
71,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1678.0,sqft,1742.4,367000.0,2385,360690
72,4.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,3306.0,noUnit,0.0,875000.0,1694,0.0
73,4.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2843.0,noUnit,0.0,653990.0,3336,0.0
74,1.0,2.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1260.0,sqft,6098.4,395000.0,1999,395000
75,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,1316.0,sqft,6969.6,514900.0,2449,508019
76,0.0,0.0,Orlando,USA,FOR_SALE,LOT,True,False,0.0,acres,0.61,170000.0,950,0.0
77,1.0,1.0,Orlando,USA,FOR_SALE,CONDO,True,False,644.0,sqft,5662.8,150000.0,1500,148461
78,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2588.0,acres,0.26,650000.0,0.0,0.0
79,3.0,4.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2139.0,sqft,5662.8,610000.0,1515,0.0
80,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2005.0,sqft,7405.2,649000.0,2946,636519
81,2.0,3.0,Orlando,USA,FOR_SALE,CONDO,True,False,1253.0,sqft,10018.8,173900.0,1900,172243
82,3.0,3.0,Orlando,USA,FOR_SALE,TOWNHOUSE,True,False,1473.0,noUnit,0.0,353490.0,1599,0.0
83,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2432.0,noUnit,0.0,635990.0,3055,0.0
84,2.0,2.0,Orlando,USA,FOR_SALE,CONDO,True,False,1248.0,acres,8.98,200000.0,0.0,0.0
85,2.0,3.0,Orlando,USA,FOR_SALE,SINGLE_FAMILY,True,False,2051.0,noUnit,0.0,546490.0,2723,603800
